barcode	well	agent	concentration	cell_line
20160606_MH_01	C02	D_1	0.01	CL_1
20160606_MH_01	D02	-	0	CL_1
20160606_MH_01	E02	D_1	0.01	CL_2
20160606_MH_01	F02	-	0	CL_2
20160606_MH_01	G02	D_1	0.01	CL_3
20160606_MH_01	H02	-	0	CL_3
20160606_MH_01	I02	D_1	0.01	CL_4
20160606_MH_01	J02	-	0	CL_4
20160606_MH_01	K02	D_1	0.01	CL_5
20160606_MH_01	L02	-	0	CL_5
20160606_MH_01	M02	D_1	0.01	CL_6
20160606_MH_01	N02	-	0	CL_6
20160606_MH_01	C03	D_2	0.31623	CL_1
20160606_MH_01	D03	D_3	0.0010833	CL_1
20160606_MH_01	E03	D_2	0.31623	CL_2
20160606_MH_01	F03	D_3	0.0010833	CL_2
20160606_MH_01	G03	D_2	0.31623	CL_3
20160606_MH_01	H03	D_3	0.0010833	CL_3
20160606_MH_01	I03	D_2	0.31623	CL_4
20160606_MH_01	J03	D_3	0.0010833	CL_4
20160606_MH_01	K03	D_2	0.31623	CL_5
20160606_MH_01	L03	D_3	0.0010833	CL_5
20160606_MH_01	M03	D_2	0.31623	CL_6
20160606_MH_01	N03	D_3	0.0010833	CL_6
20160606_MH_01	C04	D_4	10	CL_1
20160606_MH_01	D04	D_1	0.31623	CL_1
20160606_MH_01	E04	D_4	10	CL_2
20160606_MH_01	F04	D_1	0.31623	CL_2
20160606_MH_01	G04	D_4	10	CL_3
20160606_MH_01	H04	D_1	0.31623	CL_3
20160606_MH_01	I04	D_4	10	CL_4
20160606_MH_01	J04	D_1	0.31623	CL_4
20160606_MH_01	K04	D_4	10	CL_5
20160606_MH_01	L04	D_1	0.31623	CL_5
20160606_MH_01	M04	D_4	10	CL_6
20160606_MH_01	N04	D_1	0.31623	CL_6
20160606_MH_01	C05	D_3	0.031667	CL_1
20160606_MH_01	D05	D_4	0.0010833	CL_1
20160606_MH_01	E05	D_3	0.031667	CL_2
20160606_MH_01	F05	D_4	0.0010833	CL_2
20160606_MH_01	G05	D_3	0.031667	CL_3
20160606_MH_01	H05	D_4	0.0010833	CL_3
20160606_MH_01	I05	D_3	0.031667	CL_4
20160606_MH_01	J05	D_4	0.0010833	CL_4
20160606_MH_01	K05	D_3	0.031667	CL_5
20160606_MH_01	L05	D_4	0.0010833	CL_5
20160606_MH_01	M05	D_3	0.031667	CL_6
20160606_MH_01	N05	D_4	0.0010833	CL_6
20160606_MH_01	C06	D_1	0.1	CL_1
20160606_MH_01	D06	D_3	0.0033333	CL_1
20160606_MH_01	E06	D_1	0.1	CL_2
20160606_MH_01	F06	D_3	0.0033333	CL_2
20160606_MH_01	G06	D_1	0.1	CL_3
20160606_MH_01	H06	D_3	0.0033333	CL_3
20160606_MH_01	I06	D_1	0.1	CL_4
20160606_MH_01	J06	D_3	0.0033333	CL_4
20160606_MH_01	K06	D_1	0.1	CL_5
20160606_MH_01	L06	D_3	0.0033333	CL_5
20160606_MH_01	M06	D_1	0.1	CL_6
20160606_MH_01	N06	D_3	0.0033333	CL_6
20160606_MH_01	C07	D_1	1	CL_1
20160606_MH_01	D07	D_4	0.0033333	CL_1
20160606_MH_01	E07	D_1	1	CL_2
20160606_MH_01	F07	D_4	0.0033333	CL_2
20160606_MH_01	G07	D_1	1	CL_3
20160606_MH_01	H07	D_4	0.0033333	CL_3
20160606_MH_01	I07	D_1	1	CL_4
20160606_MH_01	J07	D_4	0.0033333	CL_4
20160606_MH_01	K07	D_1	1	CL_5
20160606_MH_01	L07	D_4	0.0033333	CL_5
20160606_MH_01	M07	D_1	1	CL_6
20160606_MH_01	N07	D_4	0.0033333	CL_6
20160606_MH_01	C08	D_2	0.031667	CL_1
20160606_MH_01	D08	-	0	CL_1
20160606_MH_01	E08	D_2	0.031667	CL_2
20160606_MH_01	F08	-	0	CL_2
20160606_MH_01	G08	D_2	0.031667	CL_3
20160606_MH_01	H08	-	0	CL_3
20160606_MH_01	I08	D_2	0.031667	CL_4
20160606_MH_01	J08	-	0	CL_4
20160606_MH_01	K08	D_2	0.031667	CL_5
20160606_MH_01	L08	-	0	CL_5
20160606_MH_01	M08	D_2	0.031667	CL_6
20160606_MH_01	N08	-	0	CL_6
20160606_MH_01	C09	D_1	0.031667	CL_1
20160606_MH_01	D09	D_4	0.1	CL_1
20160606_MH_01	E09	D_1	0.031667	CL_2
20160606_MH_01	F09	D_4	0.1	CL_2
20160606_MH_01	G09	D_1	0.031667	CL_3
20160606_MH_01	H09	D_4	0.1	CL_3
20160606_MH_01	I09	D_1	0.031667	CL_4
20160606_MH_01	J09	D_4	0.1	CL_4
20160606_MH_01	K09	D_1	0.031667	CL_5
20160606_MH_01	L09	D_4	0.1	CL_5
20160606_MH_01	M09	D_1	0.031667	CL_6
20160606_MH_01	N09	D_4	0.1	CL_6
20160606_MH_01	C10	D_3	10	CL_1
20160606_MH_01	D10	D_1	3.1623	CL_1
20160606_MH_01	E10	D_3	10	CL_2
20160606_MH_01	F10	D_1	3.1623	CL_2
20160606_MH_01	G10	D_3	10	CL_3
20160606_MH_01	H10	D_1	3.1623	CL_3
20160606_MH_01	I10	D_3	10	CL_4
20160606_MH_01	J10	D_1	3.1623	CL_4
20160606_MH_01	K10	D_3	10	CL_5
20160606_MH_01	L10	D_1	3.1623	CL_5
20160606_MH_01	M10	D_3	10	CL_6
20160606_MH_01	N10	D_1	3.1623	CL_6
20160606_MH_01	C11	D_1	10	CL_1
20160606_MH_01	D11	D_1	0.0010833	CL_1
20160606_MH_01	E11	D_1	10	CL_2
20160606_MH_01	F11	D_1	0.0010833	CL_2
20160606_MH_01	G11	D_1	10	CL_3
20160606_MH_01	H11	D_1	0.0010833	CL_3
20160606_MH_01	I11	D_1	10	CL_4
20160606_MH_01	J11	D_1	0.0010833	CL_4
20160606_MH_01	K11	D_1	10	CL_5
20160606_MH_01	L11	D_1	0.0010833	CL_5
20160606_MH_01	M11	D_1	10	CL_6
20160606_MH_01	N11	D_1	0.0010833	CL_6
20160606_MH_01	C12	D_2	3.1623	CL_1
20160606_MH_01	D12	D_2	0.0033333	CL_1
20160606_MH_01	E12	D_2	3.1623	CL_2
20160606_MH_01	F12	D_2	0.0033333	CL_2
20160606_MH_01	G12	D_2	3.1623	CL_3
20160606_MH_01	H12	D_2	0.0033333	CL_3
20160606_MH_01	I12	D_2	3.1623	CL_4
20160606_MH_01	J12	D_2	0.0033333	CL_4
20160606_MH_01	K12	D_2	3.1623	CL_5
20160606_MH_01	L12	D_2	0.0033333	CL_5
20160606_MH_01	M12	D_2	3.1623	CL_6
20160606_MH_01	N12	D_2	0.0033333	CL_6
20160606_MH_01	C13	D_3	0.1	CL_1
20160606_MH_01	D13	D_3	1	CL_1
20160606_MH_01	E13	D_3	0.1	CL_2
20160606_MH_01	F13	D_3	1	CL_2
20160606_MH_01	G13	D_3	0.1	CL_3
20160606_MH_01	H13	D_3	1	CL_3
20160606_MH_01	I13	D_3	0.1	CL_4
20160606_MH_01	J13	D_3	1	CL_4
20160606_MH_01	K13	D_3	0.1	CL_5
20160606_MH_01	L13	D_3	1	CL_5
20160606_MH_01	M13	D_3	0.1	CL_6
20160606_MH_01	N13	D_3	1	CL_6
20160606_MH_01	C14	D_2	0.0010833	CL_1
20160606_MH_01	D14	D_2	10	CL_1
20160606_MH_01	E14	D_2	0.0010833	CL_2
20160606_MH_01	F14	D_2	10	CL_2
20160606_MH_01	G14	D_2	0.0010833	CL_3
20160606_MH_01	H14	D_2	10	CL_3
20160606_MH_01	I14	D_2	0.0010833	CL_4
20160606_MH_01	J14	D_2	10	CL_4
20160606_MH_01	K14	D_2	0.0010833	CL_5
20160606_MH_01	L14	D_2	10	CL_5
20160606_MH_01	M14	D_2	0.0010833	CL_6
20160606_MH_01	N14	D_2	10	CL_6
20160606_MH_01	C15	D_2	1	CL_1
20160606_MH_01	D15	D_2	0.01	CL_1
20160606_MH_01	E15	D_2	1	CL_2
20160606_MH_01	F15	D_2	0.01	CL_2
20160606_MH_01	G15	D_2	1	CL_3
20160606_MH_01	H15	D_2	0.01	CL_3
20160606_MH_01	I15	D_2	1	CL_4
20160606_MH_01	J15	D_2	0.01	CL_4
20160606_MH_01	K15	D_2	1	CL_5
20160606_MH_01	L15	D_2	0.01	CL_5
20160606_MH_01	M15	D_2	1	CL_6
20160606_MH_01	N15	D_2	0.01	CL_6
20160606_MH_01	C16	-	0	CL_1
20160606_MH_01	D16	D_3	3.1623	CL_1
20160606_MH_01	E16	-	0	CL_2
20160606_MH_01	F16	D_3	3.1623	CL_2
20160606_MH_01	G16	-	0	CL_3
20160606_MH_01	H16	D_3	3.1623	CL_3
20160606_MH_01	I16	-	0	CL_4
20160606_MH_01	J16	D_3	3.1623	CL_4
20160606_MH_01	K16	-	0	CL_5
20160606_MH_01	L16	D_3	3.1623	CL_5
20160606_MH_01	M16	-	0	CL_6
20160606_MH_01	N16	D_3	3.1623	CL_6
20160606_MH_01	C17	D_4	0.31623	CL_1
20160606_MH_01	D17	D_1	0.0033333	CL_1
20160606_MH_01	E17	D_4	0.31623	CL_2
20160606_MH_01	F17	D_1	0.0033333	CL_2
20160606_MH_01	G17	D_4	0.31623	CL_3
20160606_MH_01	H17	D_1	0.0033333	CL_3
20160606_MH_01	I17	D_4	0.31623	CL_4
20160606_MH_01	J17	D_1	0.0033333	CL_4
20160606_MH_01	K17	D_4	0.31623	CL_5
20160606_MH_01	L17	D_1	0.0033333	CL_5
20160606_MH_01	M17	D_4	0.31623	CL_6
20160606_MH_01	N17	D_1	0.0033333	CL_6
20160606_MH_01	C18	-	0	CL_1
20160606_MH_01	D18	-	0	CL_1
20160606_MH_01	E18	-	0	CL_2
20160606_MH_01	F18	-	0	CL_2
20160606_MH_01	G18	-	0	CL_3
20160606_MH_01	H18	-	0	CL_3
20160606_MH_01	I18	-	0	CL_4
20160606_MH_01	J18	-	0	CL_4
20160606_MH_01	K18	-	0	CL_5
20160606_MH_01	L18	-	0	CL_5
20160606_MH_01	M18	-	0	CL_6
20160606_MH_01	N18	-	0	CL_6
20160606_MH_01	C19	-	0	CL_1
20160606_MH_01	D19	D_4	0.01	CL_1
20160606_MH_01	E19	-	0	CL_2
20160606_MH_01	F19	D_4	0.01	CL_2
20160606_MH_01	G19	-	0	CL_3
20160606_MH_01	H19	D_4	0.01	CL_3
20160606_MH_01	I19	-	0	CL_4
20160606_MH_01	J19	D_4	0.01	CL_4
20160606_MH_01	K19	-	0	CL_5
20160606_MH_01	L19	D_4	0.01	CL_5
20160606_MH_01	M19	-	0	CL_6
20160606_MH_01	N19	D_4	0.01	CL_6
20160606_MH_01	C20	-	0	CL_1
20160606_MH_01	D20	D_4	1	CL_1
20160606_MH_01	E20	-	0	CL_2
20160606_MH_01	F20	D_4	1	CL_2
20160606_MH_01	G20	-	0	CL_3
20160606_MH_01	H20	D_4	1	CL_3
20160606_MH_01	I20	-	0	CL_4
20160606_MH_01	J20	D_4	1	CL_4
20160606_MH_01	K20	-	0	CL_5
20160606_MH_01	L20	D_4	1	CL_5
20160606_MH_01	M20	-	0	CL_6
20160606_MH_01	N20	D_4	1	CL_6
20160606_MH_01	C21	D_2	0.1	CL_1
20160606_MH_01	D21	D_3	0.01	CL_1
20160606_MH_01	E21	D_2	0.1	CL_2
20160606_MH_01	F21	D_3	0.01	CL_2
20160606_MH_01	G21	D_2	0.1	CL_3
20160606_MH_01	H21	D_3	0.01	CL_3
20160606_MH_01	I21	D_2	0.1	CL_4
20160606_MH_01	J21	D_3	0.01	CL_4
20160606_MH_01	K21	D_2	0.1	CL_5
20160606_MH_01	L21	D_3	0.01	CL_5
20160606_MH_01	M21	D_2	0.1	CL_6
20160606_MH_01	N21	D_3	0.01	CL_6
20160606_MH_01	C22	D_4	3.1623	CL_1
20160606_MH_01	D22	D_3	0.31623	CL_1
20160606_MH_01	E22	D_4	3.1623	CL_2
20160606_MH_01	F22	D_3	0.31623	CL_2
20160606_MH_01	G22	D_4	3.1623	CL_3
20160606_MH_01	H22	D_3	0.31623	CL_3
20160606_MH_01	I22	D_4	3.1623	CL_4
20160606_MH_01	J22	D_3	0.31623	CL_4
20160606_MH_01	K22	D_4	3.1623	CL_5
20160606_MH_01	L22	D_3	0.31623	CL_5
20160606_MH_01	M22	D_4	3.1623	CL_6
20160606_MH_01	N22	D_3	0.31623	CL_6
20160606_MH_01	C23	D_4	0.031667	CL_1
20160606_MH_01	D23	-	0	CL_1
20160606_MH_01	E23	D_4	0.031667	CL_2
20160606_MH_01	F23	-	0	CL_2
20160606_MH_01	G23	D_4	0.031667	CL_3
20160606_MH_01	H23	-	0	CL_3
20160606_MH_01	I23	D_4	0.031667	CL_4
20160606_MH_01	J23	-	0	CL_4
20160606_MH_01	K23	D_4	0.031667	CL_5
20160606_MH_01	L23	-	0	CL_5
20160606_MH_01	M23	D_4	0.031667	CL_6
20160606_MH_01	N23	-	0	CL_6
20160606_MH_02	C02	D_1	0.01	CL_1
20160606_MH_02	D02	-	0	CL_1
20160606_MH_02	E02	D_1	0.01	CL_2
20160606_MH_02	F02	-	0	CL_2
20160606_MH_02	G02	D_1	0.01	CL_3
20160606_MH_02	H02	-	0	CL_3
20160606_MH_02	I02	D_1	0.01	CL_4
20160606_MH_02	J02	-	0	CL_4
20160606_MH_02	K02	D_1	0.01	CL_5
20160606_MH_02	L02	-	0	CL_5
20160606_MH_02	M02	D_1	0.01	CL_6
20160606_MH_02	N02	-	0	CL_6
20160606_MH_02	C03	D_2	0.31623	CL_1
20160606_MH_02	D03	D_3	0.0010833	CL_1
20160606_MH_02	E03	D_2	0.31623	CL_2
20160606_MH_02	F03	D_3	0.0010833	CL_2
20160606_MH_02	G03	D_2	0.31623	CL_3
20160606_MH_02	H03	D_3	0.0010833	CL_3
20160606_MH_02	I03	D_2	0.31623	CL_4
