barcode	date	Row	Column	well	cell_count__total	corpse_count	cell_count__dead	cell_count
MH1_01	2016-06-06 12:34:56	3	3	C03	511.0	32.0	12.0	499.0
MH1_01	2016-06-06 12:34:56	3	4	C04	511.0	30.0	12.0	499.0
MH1_01	2016-06-06 12:34:56	3	5	C05	526.0	32.0	12.0	514.0
MH1_01	2016-06-06 12:34:56	3	6	C06	494.0	38.0	15.0	479.0
MH1_01	2016-06-06 12:34:56	3	7	C07	507.0	29.0	13.0	494.0
MH1_01	2016-06-06 12:34:56	3	8	C08	506.0	36.0	15.0	491.0
MH1_01	2016-06-06 12:34:56	3	9	C09	484.0	40.0	12.0	472.0
MH1_01	2016-06-06 12:34:56	3	10	C10	526.0	27.0	15.0	511.0
MH1_01	2016-06-06 12:34:56	3	11	C11	513.0	31.0	15.0	498.0
MH1_01	2016-06-06 12:34:56	3	12	C12	531.0	33.0	12.0	519.0
MH1_01	2016-06-06 12:34:56	3	13	C13	519.0	32.0	11.0	508.0
MH1_01	2016-06-06 12:34:56	3	14	C14	523.0	27.0	16.0	507.0
MH1_01	2016-06-06 12:34:56	3	15	C15	524.0	39.0	13.0	511.0
MH1_01	2016-06-06 12:34:56	3	16	C16	491.0	34.0	14.0	477.0
MH1_01	2016-06-06 12:34:56	3	17	C17	503.0	30.0	10.0	493.0
MH1_01	2016-06-06 12:34:56	3	18	C18	515.0	28.0	10.0	505.0
MH1_01	2016-06-06 12:34:56	3	19	C19	512.0	36.0	15.0	497.0
MH1_01	2016-06-06 12:34:56	3	20	C20	487.0	38.0	15.0	472.0
MH1_01	2016-06-06 12:34:56	3	21	C21	509.0	37.0	12.0	497.0
MH1_01	2016-06-06 12:34:56	3	22	C22	522.0	35.0	15.0	507.0
MH1_01	2016-06-06 12:34:56	4	3	D03	537.0	33.0	13.0	524.0
MH1_01	2016-06-06 12:34:56	4	4	D04	494.0	26.0	12.0	482.0
MH1_01	2016-06-06 12:34:56	4	5	D05	514.0	37.0	15.0	499.0
MH1_01	2016-06-06 12:34:56	4	6	D06	528.0	37.0	18.0	510.0
MH1_01	2016-06-06 12:34:56	4	7	D07	523.0	33.0	16.0	507.0
MH1_01	2016-06-06 12:34:56	4	8	D08	506.0	31.0	10.0	496.0
MH1_01	2016-06-06 12:34:56	4	9	D09	526.0	31.0	11.0	515.0
MH1_01	2016-06-06 12:34:56	4	10	D10	515.0	38.0	12.0	503.0
MH1_01	2016-06-06 12:34:56	4	11	D11	516.0	33.0	12.0	504.0
MH1_01	2016-06-06 12:34:56	4	12	D12	532.0	38.0	18.0	514.0
MH1_01	2016-06-06 12:34:56	4	13	D13	535.0	26.0	11.0	524.0
MH1_01	2016-06-06 12:34:56	4	14	D14	510.0	35.0	13.0	497.0
MH1_01	2016-06-06 12:34:56	4	15	D15	499.0	37.0	14.0	485.0
MH1_01	2016-06-06 12:34:56	4	16	D16	519.0	33.0	11.0	508.0
MH1_01	2016-06-06 12:34:56	4	17	D17	516.0	30.0	10.0	506.0
MH1_01	2016-06-06 12:34:56	4	18	D18	532.0	34.0	11.0	521.0
MH1_01	2016-06-06 12:34:56	4	19	D19	500.0	31.0	11.0	489.0
MH1_01	2016-06-06 12:34:56	4	20	D20	552.0	31.0	15.0	537.0
MH1_01	2016-06-06 12:34:56	4	21	D21	512.0	33.0	12.0	500.0
MH1_01	2016-06-06 12:34:56	4	22	D22	506.0	32.0	13.0	493.0
MH1_01	2016-06-06 12:34:56	5	3	E03	513.0	33.0	10.0	503.0
MH1_01	2016-06-06 12:34:56	5	4	E04	520.0	29.0	13.0	507.0
MH1_01	2016-06-06 12:34:56	5	5	E05	519.0	26.0	12.0	507.0
MH1_01	2016-06-06 12:34:56	5	6	E06	491.0	35.0	13.0	478.0
MH1_01	2016-06-06 12:34:56	5	7	E07	511.0	35.0	11.0	500.0
MH1_01	2016-06-06 12:34:56	5	8	E08	498.0	33.0	12.0	486.0
MH1_01	2016-06-06 12:34:56	5	9	E09	524.0	29.0	9.0	515.0
MH1_01	2016-06-06 12:34:56	5	10	E10	519.0	27.0	11.0	508.0
MH1_01	2016-06-06 12:34:56	5	11	E11	510.0	28.0	10.0	500.0
MH1_01	2016-06-06 12:34:56	5	12	E12	514.0	32.0	15.0	499.0
MH1_01	2016-06-06 12:34:56	5	13	E13	514.0	30.0	13.0	501.0
MH1_01	2016-06-06 12:34:56	5	14	E14	508.0	32.0	13.0	495.0
MH1_01	2016-06-06 12:34:56	5	15	E15	503.0	29.0	15.0	488.0
MH1_01	2016-06-06 12:34:56	5	16	E16	548.0	32.0	12.0	536.0
MH1_01	2016-06-06 12:34:56	5	17	E17	519.0	32.0	12.0	507.0
MH1_01	2016-06-06 12:34:56	5	18	E18	536.0	29.0	13.0	523.0
MH1_01	2016-06-06 12:34:56	5	19	E19	519.0	28.0	16.0	503.0
MH1_01	2016-06-06 12:34:56	5	20	E20	501.0	34.0	10.0	491.0
MH1_01	2016-06-06 12:34:56	5	21	E21	528.0	39.0	14.0	514.0
MH1_01	2016-06-06 12:34:56	5	22	E22	529.0	34.0	15.0	514.0
MH1_01	2016-06-06 12:34:56	6	3	F03	505.0	35.0	12.0	493.0
MH1_01	2016-06-06 12:34:56	6	4	F04	520.0	36.0	12.0	508.0
MH1_01	2016-06-06 12:34:56	6	5	F05	480.0	50.0	12.0	468.0
MH1_01	2016-06-06 12:34:56	6	6	F06	505.0	30.0	12.0	493.0
MH1_01	2016-06-06 12:34:56	6	7	F07	491.0	32.0	12.0	479.0
MH1_01	2016-06-06 12:34:56	6	8	F08	511.0	32.0	15.0	496.0
MH1_01	2016-06-06 12:34:56	6	9	F09	505.0	30.0	14.0	491.0
MH1_01	2016-06-06 12:34:56	6	10	F10	510.0	29.0	10.0	500.0
MH1_01	2016-06-06 12:34:56	6	11	F11	500.0	33.0	12.0	488.0
MH1_01	2016-06-06 12:34:56	6	12	F12	487.0	37.0	15.0	472.0
MH1_01	2016-06-06 12:34:56	6	13	F13	516.0	27.0	13.0	503.0
MH1_01	2016-06-06 12:34:56	6	14	F14	529.0	35.0	12.0	517.0
MH1_01	2016-06-06 12:34:56	6	15	F15	500.0	33.0	14.0	486.0
MH1_01	2016-06-06 12:34:56	6	16	F16	533.0	31.0	15.0	518.0
MH1_01	2016-06-06 12:34:56	6	17	F17	517.0	34.0	12.0	505.0
MH1_01	2016-06-06 12:34:56	6	18	F18	522.0	26.0	7.0	515.0
MH1_01	2016-06-06 12:34:56	6	19	F19	509.0	33.0	15.0	494.0
MH1_01	2016-06-06 12:34:56	6	20	F20	501.0	33.0	11.0	490.0
MH1_01	2016-06-06 12:34:56	6	21	F21	516.0	37.0	13.0	503.0
MH1_01	2016-06-06 12:34:56	6	22	F22	506.0	33.0	14.0	492.0
MH1_01	2016-06-06 12:34:56	7	3	G03	519.0	35.0	15.0	504.0
MH1_01	2016-06-06 12:34:56	7	4	G04	520.0	37.0	13.0	507.0
MH1_01	2016-06-06 12:34:56	7	5	G05	491.0	38.0	14.0	477.0
MH1_01	2016-06-06 12:34:56	7	6	G06	483.0	36.0	13.0	470.0
MH1_01	2016-06-06 12:34:56	7	7	G07	500.0	34.0	16.0	484.0
MH1_01	2016-06-06 12:34:56	7	8	G08	509.0	33.0	16.0	493.0
MH1_01	2016-06-06 12:34:56	7	9	G09	498.0	38.0	14.0	484.0
MH1_01	2016-06-06 12:34:56	7	10	G10	504.0	30.0	12.0	492.0
MH1_01	2016-06-06 12:34:56	7	11	G11	520.0	36.0	12.0	508.0
MH1_01	2016-06-06 12:34:56	7	12	G12	508.0	37.0	14.0	494.0
MH1_01	2016-06-06 12:34:56	7	13	G13	504.0	31.0	14.0	490.0
MH1_01	2016-06-06 12:34:56	7	14	G14	526.0	34.0	14.0	512.0
MH1_01	2016-06-06 12:34:56	7	15	G15	519.0	37.0	13.0	506.0
MH1_01	2016-06-06 12:34:56	7	16	G16	529.0	35.0	12.0	517.0
MH1_01	2016-06-06 12:34:56	7	17	G17	522.0	34.0	10.0	512.0
MH1_01	2016-06-06 12:34:56	7	18	G18	539.0	29.0	12.0	527.0
MH1_01	2016-06-06 12:34:56	7	19	G19	489.0	38.0	10.0	479.0
MH1_01	2016-06-06 12:34:56	7	20	G20	489.0	33.0	13.0	476.0
MH1_01	2016-06-06 12:34:56	7	21	G21	504.0	33.0	12.0	492.0
MH1_01	2016-06-06 12:34:56	7	22	G22	521.0	35.0	15.0	506.0
MH1_01	2016-06-06 12:34:56	8	3	H03	490.0	35.0	11.0	479.0
MH1_01	2016-06-06 12:34:56	8	4	H04	504.0	30.0	10.0	494.0
