barcode,cell_line,identifier,role,timepoint,well,agent1,agent2,agent3,concentration1,concentration2,concentration3
041018_combo_0,,,,time0_ctrl,A01,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A02,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A03,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A04,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A05,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A06,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A07,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A08,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A09,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A10,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A11,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A12,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A13,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A14,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A15,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A16,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A17,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A18,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A19,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A20,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A21,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A22,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A23,,,,0.0,,
041018_combo_0,,,,time0_ctrl,A24,,,,0.0,,
041018_combo_0,,,,time0_ctrl,B01,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B02,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B03,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B04,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B05,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B06,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B07,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B08,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B09,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B10,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B11,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B12,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B13,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B14,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B15,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B16,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B17,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B18,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B19,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B20,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B21,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B22,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,B23,,,,0.0,,
041018_combo_0,,,,time0_ctrl,B24,,,,0.0,,
041018_combo_0,,,,time0_ctrl,C01,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C02,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C03,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C04,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C05,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C06,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C07,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C08,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C09,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C10,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C11,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C12,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C13,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C14,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C15,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C16,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C17,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C18,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C19,,,,0.0,,
041018_combo_0,CL_1,,,time0_ctrl,C20,,,,0.0,,
