agent,concentration,role,well,randomization_scheme,timepoint,barcode,cell_line
,,,C03,0,time0_ctrl,MH1_01,CL_1
,,,C04,0,time0_ctrl,MH1_01,CL_1
,,,C05,0,time0_ctrl,MH1_01,CL_1
,,,C06,0,time0_ctrl,MH1_01,CL_1
,,,C07,0,time0_ctrl,MH1_01,CL_1
,,,C08,0,time0_ctrl,MH1_01,CL_1
,,,C09,0,time0_ctrl,MH1_01,CL_1
,,,C10,0,time0_ctrl,MH1_01,CL_1
,,,C11,0,time0_ctrl,MH1_01,CL_1
,,,C12,0,time0_ctrl,MH1_01,CL_1
,,,C13,0,time0_ctrl,MH1_01,CL_1
,,,C14,0,time0_ctrl,MH1_01,CL_1
,,,C15,0,time0_ctrl,MH1_01,CL_1
,,,C16,0,time0_ctrl,MH1_01,CL_1
,,,C17,0,time0_ctrl,MH1_01,CL_1
,,,C18,0,time0_ctrl,MH1_01,CL_1
,,,C19,0,time0_ctrl,MH1_01,CL_1
,,,C20,0,time0_ctrl,MH1_01,CL_1
,,,C21,0,time0_ctrl,MH1_01,CL_1
,,,C22,0,time0_ctrl,MH1_01,CL_1
,,,D03,0,time0_ctrl,MH1_01,CL_1
,,,D04,0,time0_ctrl,MH1_01,CL_1
,,,D05,0,time0_ctrl,MH1_01,CL_1
,,,D06,0,time0_ctrl,MH1_01,CL_1
,,,D07,0,time0_ctrl,MH1_01,CL_1
,,,D08,0,time0_ctrl,MH1_01,CL_1
,,,D09,0,time0_ctrl,MH1_01,CL_1
,,,D10,0,time0_ctrl,MH1_01,CL_1
,,,D11,0,time0_ctrl,MH1_01,CL_1
,,,D12,0,time0_ctrl,MH1_01,CL_1
,,,D13,0,time0_ctrl,MH1_01,CL_1
,,,D14,0,time0_ctrl,MH1_01,CL_1
,,,D15,0,time0_ctrl,MH1_01,CL_1
,,,D16,0,time0_ctrl,MH1_01,CL_1
,,,D17,0,time0_ctrl,MH1_01,CL_1
,,,D18,0,time0_ctrl,MH1_01,CL_1
,,,D19,0,time0_ctrl,MH1_01,CL_1
,,,D20,0,time0_ctrl,MH1_01,CL_1
,,,D21,0,time0_ctrl,MH1_01,CL_1
,,,D22,0,time0_ctrl,MH1_01,CL_1
,,,E03,0,time0_ctrl,MH1_01,CL_1
,,,E04,0,time0_ctrl,MH1_01,CL_1
,,,E05,0,time0_ctrl,MH1_01,CL_1
,,,E06,0,time0_ctrl,MH1_01,CL_1
,,,E07,0,time0_ctrl,MH1_01,CL_1
,,,E08,0,time0_ctrl,MH1_01,CL_1
,,,E09,0,time0_ctrl,MH1_01,CL_1
,,,E10,0,time0_ctrl,MH1_01,CL_1
,,,E11,0,time0_ctrl,MH1_01,CL_1
,,,E12,0,time0_ctrl,MH1_01,CL_1
,,,E13,0,time0_ctrl,MH1_01,CL_1
,,,E14,0,time0_ctrl,MH1_01,CL_1
,,,E15,0,time0_ctrl,MH1_01,CL_1
,,,E16,0,time0_ctrl,MH1_01,CL_1
,,,E17,0,time0_ctrl,MH1_01,CL_1
,,,E18,0,time0_ctrl,MH1_01,CL_1
,,,E19,0,time0_ctrl,MH1_01,CL_1
,,,E20,0,time0_ctrl,MH1_01,CL_1
,,,E21,0,time0_ctrl,MH1_01,CL_1
,,,E22,0,time0_ctrl,MH1_01,CL_1
,,,F03,0,time0_ctrl,MH1_01,CL_1
,,,F04,0,time0_ctrl,MH1_01,CL_1
,,,F05,0,time0_ctrl,MH1_01,CL_1
,,,F06,0,time0_ctrl,MH1_01,CL_1
,,,F07,0,time0_ctrl,MH1_01,CL_1
,,,F08,0,time0_ctrl,MH1_01,CL_1
,,,F09,0,time0_ctrl,MH1_01,CL_1
,,,F10,0,time0_ctrl,MH1_01,CL_1
,,,F11,0,time0_ctrl,MH1_01,CL_1
,,,F12,0,time0_ctrl,MH1_01,CL_1
,,,F13,0,time0_ctrl,MH1_01,CL_1
,,,F14,0,time0_ctrl,MH1_01,CL_1
,,,F15,0,time0_ctrl,MH1_01,CL_1
,,,F16,0,time0_ctrl,MH1_01,CL_1
,,,F17,0,time0_ctrl,MH1_01,CL_1
,,,F18,0,time0_ctrl,MH1_01,CL_1
,,,F19,0,time0_ctrl,MH1_01,CL_1
,,,F20,0,time0_ctrl,MH1_01,CL_1
,,,F21,0,time0_ctrl,MH1_01,CL_1
,,,F22,0,time0_ctrl,MH1_01,CL_1
,,,G03,0,time0_ctrl,MH1_01,CL_1
,,,G04,0,time0_ctrl,MH1_01,CL_1
,,,G05,0,time0_ctrl,MH1_01,CL_1
,,,G06,0,time0_ctrl,MH1_01,CL_1
,,,G07,0,time0_ctrl,MH1_01,CL_1
,,,G08,0,time0_ctrl,MH1_01,CL_1
,,,G09,0,time0_ctrl,MH1_01,CL_1
,,,G10,0,time0_ctrl,MH1_01,CL_1
,,,G11,0,time0_ctrl,MH1_01,CL_1
,,,G12,0,time0_ctrl,MH1_01,CL_1
,,,G13,0,time0_ctrl,MH1_01,CL_1
,,,G14,0,time0_ctrl,MH1_01,CL_1
,,,G15,0,time0_ctrl,MH1_01,CL_1
,,,G16,0,time0_ctrl,MH1_01,CL_1
,,,G17,0,time0_ctrl,MH1_01,CL_1
,,,G18,0,time0_ctrl,MH1_01,CL_1
,,,G19,0,time0_ctrl,MH1_01,CL_1
,,,G20,0,time0_ctrl,MH1_01,CL_1
,,,G21,0,time0_ctrl,MH1_01,CL_1
,,,G22,0,time0_ctrl,MH1_01,CL_1
,,,H03,0,time0_ctrl,MH1_01,CL_1
,,,H04,0,time0_ctrl,MH1_01,CL_1
,,,H05,0,time0_ctrl,MH1_01,CL_1
,,,H06,0,time0_ctrl,MH1_01,CL_1
,,,H07,0,time0_ctrl,MH1_01,CL_1
,,,H08,0,time0_ctrl,MH1_01,CL_1
,,,H09,0,time0_ctrl,MH1_01,CL_1
,,,H10,0,time0_ctrl,MH1_01,CL_1
,,,H11,0,time0_ctrl,MH1_01,CL_1
,,,H12,0,time0_ctrl,MH1_01,CL_1
,,,H13,0,time0_ctrl,MH1_01,CL_1
,,,H14,0,time0_ctrl,MH1_01,CL_1
,,,H15,0,time0_ctrl,MH1_01,CL_1
,,,H16,0,time0_ctrl,MH1_01,CL_1
,,,H17,0,time0_ctrl,MH1_01,CL_1
,,,H18,0,time0_ctrl,MH1_01,CL_1
