agent,barcode,cell_line,concentration,identifier,role,timepoint,well
,041018_1,,0.0,,,time0_ctrl,A01
,041018_1,,0.0,,,time0_ctrl,A02
,041018_1,,0.0,,,time0_ctrl,A03
,041018_1,,0.0,,,time0_ctrl,A04
,041018_1,,0.0,,,time0_ctrl,A05
,041018_1,,0.0,,,time0_ctrl,A06
,041018_1,,0.0,,,time0_ctrl,A07
,041018_1,,0.0,,,time0_ctrl,A08
,041018_1,,0.0,,,time0_ctrl,A09
,041018_1,,0.0,,,time0_ctrl,A10
,041018_1,,0.0,,,time0_ctrl,A11
,041018_1,,0.0,,,time0_ctrl,A12
,041018_1,,0.0,,,time0_ctrl,A13
,041018_1,,0.0,,,time0_ctrl,A14
,041018_1,,0.0,,,time0_ctrl,A15
,041018_1,,0.0,,,time0_ctrl,A16
,041018_1,,0.0,,,time0_ctrl,A17
,041018_1,,0.0,,,time0_ctrl,A18
,041018_1,,0.0,,,time0_ctrl,A19
,041018_1,,0.0,,,time0_ctrl,A20
,041018_1,,0.0,,,time0_ctrl,A21
,041018_1,,0.0,,,time0_ctrl,A22
,041018_1,,0.0,,,time0_ctrl,A23
,041018_1,,0.0,,,time0_ctrl,A24
,041018_1,,0.0,,,time0_ctrl,B01
,041018_1,,0.0,,,time0_ctrl,B02
,041018_1,,0.0,,,time0_ctrl,B03
,041018_1,,0.0,,,time0_ctrl,B04
,041018_1,,0.0,,,time0_ctrl,B05
,041018_1,,0.0,,,time0_ctrl,B06
,041018_1,,0.0,,,time0_ctrl,B07
,041018_1,,0.0,,,time0_ctrl,B08
,041018_1,,0.0,,,time0_ctrl,B09
,041018_1,,0.0,,,time0_ctrl,B10
,041018_1,,0.0,,,time0_ctrl,B11
,041018_1,,0.0,,,time0_ctrl,B12
,041018_1,,0.0,,,time0_ctrl,B13
,041018_1,,0.0,,,time0_ctrl,B14
,041018_1,,0.0,,,time0_ctrl,B15
,041018_1,,0.0,,,time0_ctrl,B16
,041018_1,,0.0,,,time0_ctrl,B17
,041018_1,,0.0,,,time0_ctrl,B18
,041018_1,,0.0,,,time0_ctrl,B19
,041018_1,,0.0,,,time0_ctrl,B20
,041018_1,,0.0,,,time0_ctrl,B21
,041018_1,,0.0,,,time0_ctrl,B22
,041018_1,,0.0,,,time0_ctrl,B23
,041018_1,,0.0,,,time0_ctrl,B24
,041018_1,,0.0,,,time0_ctrl,C01
,041018_1,,0.0,,,time0_ctrl,C02
,041018_1,CL_1,0.0,,,time0_ctrl,C03
,041018_1,CL_1,0.0,,,time0_ctrl,C04
,041018_1,CL_1,0.0,,,time0_ctrl,C05
,041018_1,CL_1,0.0,,,time0_ctrl,C06
,041018_1,CL_1,0.0,,,time0_ctrl,C07
,041018_1,CL_1,0.0,,,time0_ctrl,C08
,041018_1,CL_1,0.0,,,time0_ctrl,C09
,041018_1,CL_1,0.0,,,time0_ctrl,C10
,041018_1,CL_1,0.0,,,time0_ctrl,C11
,041018_1,CL_1,0.0,,,time0_ctrl,C12
,041018_1,CL_1,0.0,,,time0_ctrl,C13
,041018_1,CL_1,0.0,,,time0_ctrl,C14
,041018_1,CL_1,0.0,,,time0_ctrl,C15
,041018_1,CL_1,0.0,,,time0_ctrl,C16
,041018_1,CL_1,0.0,,,time0_ctrl,C17
,041018_1,CL_1,0.0,,,time0_ctrl,C18
,041018_1,CL_1,0.0,,,time0_ctrl,C19
,041018_1,CL_1,0.0,,,time0_ctrl,C20
,041018_1,CL_1,0.0,,,time0_ctrl,C21
,041018_1,CL_1,0.0,,,time0_ctrl,C22
,041018_1,,0.0,,,time0_ctrl,C23
,041018_1,,0.0,,,time0_ctrl,C24
,041018_1,,0.0,,,time0_ctrl,D01
,041018_1,,0.0,,,time0_ctrl,D02
,041018_1,CL_1,0.0,,,time0_ctrl,D03
,041018_1,CL_1,0.0,,,time0_ctrl,D04
,041018_1,CL_1,0.0,,,time0_ctrl,D05
,041018_1,CL_1,0.0,,,time0_ctrl,D06
,041018_1,CL_1,0.0,,,time0_ctrl,D07
,041018_1,CL_1,0.0,,,time0_ctrl,D08
,041018_1,CL_1,0.0,,,time0_ctrl,D09
,041018_1,CL_1,0.0,,,time0_ctrl,D10
,041018_1,CL_1,0.0,,,time0_ctrl,D11
,041018_1,CL_1,0.0,,,time0_ctrl,D12
,041018_1,CL_1,0.0,,,time0_ctrl,D13
,041018_1,CL_1,0.0,,,time0_ctrl,D14
,041018_1,CL_1,0.0,,,time0_ctrl,D15
,041018_1,CL_1,0.0,,,time0_ctrl,D16
,041018_1,CL_1,0.0,,,time0_ctrl,D17
,041018_1,CL_1,0.0,,,time0_ctrl,D18
,041018_1,CL_1,0.0,,,time0_ctrl,D19
,041018_1,CL_1,0.0,,,time0_ctrl,D20
,041018_1,CL_1,0.0,,,time0_ctrl,D21
,041018_1,CL_1,0.0,,,time0_ctrl,D22
,041018_1,,0.0,,,time0_ctrl,D23
,041018_1,,0.0,,,time0_ctrl,D24
,041018_1,,0.0,,,time0_ctrl,E01
,041018_1,,0.0,,,time0_ctrl,E02
,041018_1,CL_1,0.0,,,time0_ctrl,E03
,041018_1,CL_1,0.0,,,time0_ctrl,E04
,041018_1,CL_1,0.0,,,time0_ctrl,E05
,041018_1,CL_1,0.0,,,time0_ctrl,E06
,041018_1,CL_1,0.0,,,time0_ctrl,E07
,041018_1,CL_1,0.0,,,time0_ctrl,E08
,041018_1,CL_1,0.0,,,time0_ctrl,E09
,041018_1,CL_1,0.0,,,time0_ctrl,E10
,041018_1,CL_1,0.0,,,time0_ctrl,E11
,041018_1,CL_1,0.0,,,time0_ctrl,E12
,041018_1,CL_1,0.0,,,time0_ctrl,E13
,041018_1,CL_1,0.0,,,time0_ctrl,E14
,041018_1,CL_1,0.0,,,time0_ctrl,E15
,041018_1,CL_1,0.0,,,time0_ctrl,E16
,041018_1,CL_1,0.0,,,time0_ctrl,E17
,041018_1,CL_1,0.0,,,time0_ctrl,E18
,041018_1,CL_1,0.0,,,time0_ctrl,E19
,041018_1,CL_1,0.0,,,time0_ctrl,E20
,041018_1,CL_1,0.0,,,time0_ctrl,E21
,041018_1,CL_1,0.0,,,time0_ctrl,E22
,041018_1,,0.0,,,time0_ctrl,E23
,041018_1,,0.0,,,time0_ctrl,E24
,041018_1,,0.0,,,time0_ctrl,F01
,041018_1,,0.0,,,time0_ctrl,F02
,041018_1,CL_1,0.0,,,time0_ctrl,F03
,041018_1,CL_1,0.0,,,time0_ctrl,F04
,041018_1,CL_1,0.0,,,time0_ctrl,F05
,041018_1,CL_1,0.0,,,time0_ctrl,F06
,041018_1,CL_1,0.0,,,time0_ctrl,F07
,041018_1,CL_1,0.0,,,time0_ctrl,F08
,041018_1,CL_1,0.0,,,time0_ctrl,F09
,041018_1,CL_1,0.0,,,time0_ctrl,F10
,041018_1,CL_1,0.0,,,time0_ctrl,F11
,041018_1,CL_1,0.0,,,time0_ctrl,F12
,041018_1,CL_1,0.0,,,time0_ctrl,F13
,041018_1,CL_1,0.0,,,time0_ctrl,F14
,041018_1,CL_1,0.0,,,time0_ctrl,F15
,041018_1,CL_1,0.0,,,time0_ctrl,F16
,041018_1,CL_1,0.0,,,time0_ctrl,F17
,041018_1,CL_1,0.0,,,time0_ctrl,F18
,041018_1,CL_1,0.0,,,time0_ctrl,F19
,041018_1,CL_1,0.0,,,time0_ctrl,F20
,041018_1,CL_1,0.0,,,time0_ctrl,F21
