barcode,cell_line,timepoint,randomization_scheme,well_level_input
041018_1,"CL_1, CL_2",time0_ctrl,0,mcl_input_file.csv
041018_2,"CL_1, CL_2",72,1,mcl_input_file.csv
041018_3,"CL_1, CL_2",72,2,mcl_input_file.csv
041018_4,"CL_1, CL_2",72,3,mcl_input_file.csv
041018_5,"CL_1, CL_2",168,1,mcl_input_file.csv
041018_6,"CL_1, CL_2",168,2,mcl_input_file.csv
041018_7,"CL_1, CL_2",168,3,mcl_input_file.csv
041018_8,"CL_3, CL_4",time0_ctrl,0,mcl_input_file.csv
041018_9,"CL_3, CL_4",72,1,mcl_input_file.csv
041018_10,"CL_3, CL_4",72,2,mcl_input_file.csv
041018_11,"CL_3, CL_4",72,3,mcl_input_file.csv
041018_12,"CL_3, CL_4",168,1,mcl_input_file.csv
041018_13,"CL_3, CL_4",168,2,mcl_input_file.csv
041018_14,"CL_3, CL_4",168,3,mcl_input_file.csv
