barcode,cell_line,timepoint,plate
MH1_01,CL_1,0,time0_Ctrl
MH1_02,CL_2,0,time0_Ctrl
MH1_03,CL_3,0,time0_Ctrl
MH1_04,CL_4,0,time0_Ctrl
MH1_05,CL_5,0,time0_Ctrl
MH1_06,CL_1,72,schema1
MH1_07,CL_2,72,schema1
MH1_08,CL_3,72,schema1
MH1_09,CL_4,72,schema1
MH1_10,CL_5,72,schema1
MH1_11,CL_1,72,schema2
MH1_12,CL_2,72,schema2
MH1_13,CL_3,72,schema2
MH1_14,CL_4,72,schema2
MH1_15,CL_5,72,schema2
MH1_16,CL_1,72,schema3
MH1_17,CL_2,72,schema3
MH1_18,CL_3,72,schema3
MH1_19,CL_4,72,schema3
MH1_20,CL_5,72,schema3
