Compound_Name,HMSL_ID,Highest_Dose,Role,Stock_Concentration,num_wells
SJB3-019A,10559,50uM,treatment,25mM,9
WP1130,10558,50uM,treatment,25mM,9
IU1,10560,50uM,treatment,25mM,9
spautin-1,10561,50uM,treatment,25mM,9
b-AP15,10543,50uM,treatment,25mM,9
HY-17541A,10XXX,50uM,treatment,25mM,9
STK547622,10XXX,50uM,treatment,25mM,9
SJB2-043,10XXX,31.6uM,treatment,15.8mM,9
1247825-37-1,10XXX,50uM,treatment,25mM,9
HY-50737A,10XXX,50uM,treatment,25mM,9
LDN-57444,10545,50uM,treatment,25mM,9
R140309,10548,50uM,treatment,25mM,9
p22077,10546,50uM,treatment,25mM,9
HY-50736,10XXX,50uM,treatment,25mM,9
ML-323,10XXX,50uM,treatment,25mM,9
HBX19818,10XXX,50uM,treatment,25mM,9
Compound 2,10XXX,50uM,treatment,25mM,9
HY-17542,10XXX,50uM,treatment,25mM,9
z-VAE(OMe)-fmk,10XXX,50uM,treatment,25mM,9
trifluoperazine,10547,50uM,treatment,25mM,9
PB49673382,10XXX,50uM,treatment,25mM,9
pimozide,10549,50uM,treatment,25mM,9
GW7647,10550,50uM,treatment,25mM,9
mitoxantrone,10479,50uM,treatment,25mM,9
Vialinin A,10XXX,50uM,treatment,25mM,9
MI-2,10551,50uM,treatment,25mM,9
YM155,10552,50uM,treatment,25mM,9
MLN4924,10553,50uM,treatment,25mM,9
SB1-F-21,10XXX,50uM,treatment,25mM,9
HBX41108,10554,50uM,treatment,25mM,9
SB1-F-22,10XXX,50uM,treatment,25mM,9
doxycycline,10556,50uM,treatment,25mM,9
Paclitaxel,10102,1uM,barcode,0.5mM,6
GSK2126458,10146,0.1uM,barcode,0.05mM,6
Staurosporine,10103,1uM,barcode,0.5mM,6
Actinomycin D,10489,1uM,barcode,0.5mM,6
DMSO,,10mM,negative_control,10mM,12
